Metai,Vidutinis NET atlyginimas,Imigrantai,Emigrantai
2020-01-01,879.2,43096,23103
2019-01-01,802.7,40067,29273
2018-01-01,700.2,28914,32206
2017-01-01,644.5,20368,47925
2016-01-01,583.9,20162,50333
2015-01-01,543.6,22130,44533
2014-01-01,522.4,24294,36621
2013-01-01,501.4,22011,38818
2012-01-01,481.3,19843,41100
2011-01-01,467.2,15685,53863
2010-01-01,458.7,5213,83157
2009-01-01,493,6487,38500
2008-01-01,478,9297,25750
