"Metai","Gyventojai","Emigrantai"
"0-14","15.1","10.4"
"15-24","10.2","20.8"
"25-34","13.3","29.6"
"35-44","12.4","20.7"
"45-54","14.2","12.9"
"55-64","14.8","4.2"
"65+","19.9","1.4"
